txn_id,user_id,method,bank,request_time,credit_time,amount,status,retry_attempts
TXN00073,2028,NEFT,HDFC,2025-04-18 14:48:00,2025-04-18 15:18:00,22549.32,SUCCESS,0
TXN00074,2240,UPI,SBI,2025-05-03 01:40:00,2025-05-03 01:41:00,12627.54,SUCCESS,0
TXN00075,3870,UPI,HDFC,2025-04-05 05:02:00,2025-04-05 05:07:00,11464.7,SUCCESS,0
TXN00076,3724,UPI,SBI,2025-04-14 08:45:00,2025-04-14 08:46:00,4262.29,SUCCESS,0
TXN00077,4843,NEFT,HDFC,2025-05-04 07:38:00,2025-05-04 08:38:00,21220.35,SUCCESS,0
TXN00078,3165,UPI,ICICI,2025-05-24 11:04:00,2025-05-24 11:05:00,28676.55,SUCCESS,0
TXN00079,3448,NEFT,IDFC,2025-05-07 20:13:00,2025-05-07 23:13:00,8184.77,SUCCESS,0
TXN00080,4493,IMPS,ICICI,2025-05-04 17:29:00,2025-05-04 17:44:00,6475.31,SUCCESS,0
TXN00081,3017,IMPS,PNB,2025-04-15 22:41:00,2025-04-15 23:11:00,8992.41,FAILED,2
TXN00082,3231,UPI,HDFC,2025-04-24 04:33:00,2025-04-24 04:38:00,4481.03,SUCCESS,0
TXN00083,3173,IMPS,SBI,2025-05-27 22:54:00,2025-05-27 23:09:00,1183.43,SUCCESS,0
TXN00084,2935,IMPS,Axis,2025-04-03 02:26:00,2025-04-03 02:41:00,6362.09,SUCCESS,0
TXN00085,3681,NEFT,Kotak,2025-04-28 09:21:00,2025-04-28 09:51:00,2775.71,SUCCESS,0
TXN00086,3280,IMPS,PNB,2025-04-14 12:26:00,2025-04-14 12:31:00,6794.72,SUCCESS,0
TXN00087,2144,IMPS,PNB,2025-05-18 16:25:00,2025-05-18 16:55:00,2561.43,SUCCESS,0
TXN00088,2890,NEFT,IDFC,2025-05-26 21:13:00,2025-05-26 22:13:00,11537.17,SUCCESS,0
TXN00089,4287,UPI,ICICI,2025-05-26 18:06:00,2025-05-26 18:11:00,560.59,SUCCESS,0
TXN00090,3410,IMPS,Kotak,2025-05-08 02:50:00,2025-05-08 02:55:00,30285.36,SUCCESS,0
TXN00091,1484,NEFT,IDFC,2025-05-09 21:25:00,2025-05-09 22:25:00,5830.87,SUCCESS,0
TXN00092,4596,IMPS,Axis,2025-05-11 12:17:00,2025-05-11 12:22:00,6580.0,SUCCESS,0
TXN00093,3081,IMPS,HDFC,2025-05-12 08:36:00,2025-05-12 08:41:00,12467.48,SUCCESS,0
TXN00094,2761,NEFT,SBI,2025-05-07 00:52:00,2025-05-07 01:22:00,64592.94,SUCCESS,0
TXN00095,2526,IMPS,PNB,2025-04-30 23:54:00,2025-05-01 00:24:00,3097.38,SUCCESS,0
TXN00096,3590,IMPS,Axis,2025-04-06 01:19:00,2025-04-06 02:19:00,88472.54,SUCCESS,0
TXN00097,1645,UPI,PNB,2025-05-21 01:14:00,2025-05-21 01:19:00,2810.99,SUCCESS,0
TXN00098,3220,UPI,PNB,2025-04-04 18:19:00,2025-04-04 18:24:00,51627.51,SUCCESS,0
TXN00099,1558,UPI,PNB,2025-05-07 10:35:00,2025-05-07 10:36:00,5108.45,SUCCESS,0
TXN00100,1901,IMPS,ICICI,2025-04-10 11:01:00,2025-04-10 11:06:00,11931.12,SUCCESS,0
TXN00101,1320,NEFT,HDFC,2025-04-11 14:23:00,2025-04-11 15:23:00,21420.99,SUCCESS,0
TXN00102,2118,UPI,PNB,2025-05-20 13:52:00,2025-05-20 13:57:00,20554.81,FAILED,3
TXN00103,2570,UPI,PNB,2025-04-29 07:10:00,2025-04-29 07:15:00,739.34,SUCCESS,0
TXN00104,3845,UPI,Kotak,2025-05-29 13:25:00,2025-05-29 13:40:00,25276.55,SUCCESS,0
TXN00105,2065,IMPS,IDFC,2025-05-02 18:37:00,2025-05-02 18:52:00,18765.05,SUCCESS,0
TXN00106,1992,NEFT,HDFC,2025-04-02 13:52:00,2025-04-03 13:52:00,7450.93,SUCCESS,0
TXN00107,2970,IMPS,SBI,2025-04-08 09:51:00,2025-04-08 10:21:00,14821.15,SUCCESS,0
TXN00108,3035,UPI,SBI,2025-05-08 00:36:00,2025-05-08 00:41:00,23309.85,SUCCESS,0
TXN00109,3243,IMPS,ICICI,2025-04-10 00:53:00,2025-04-10 01:23:00,10217.73,SUCCESS,0
TXN00110,3275,IMPS,Axis,2025-04-29 07:04:00,2025-04-29 07:19:00,7594.72,SUCCESS,0
TXN00111,4756,UPI,IDFC,2025-05-06 03:25:00,2025-05-06 03:26:00,13686.08,SUCCESS,0
TXN00112,1010,UPI,PNB,2025-04-23 14:25:00,2025-04-23 14:40:00,3868.96,SUCCESS,0
TXN00113,3188,NEFT,ICICI,2025-05-17 07:59:00,2025-05-17 08:59:00,14180.16,SUCCESS,0
TXN00114,4055,IMPS,Kotak,2025-05-12 16:27:00,2025-05-12 16:32:00,18425.96,SUCCESS,0
TXN00115,1050,UPI,HDFC,2025-04-23 00:45:00,2025-04-23 00:46:00,38968.14,SUCCESS,0
TXN00116,3467,NEFT,HDFC,2025-05-24 22:50:00,2025-05-24 23:50:00,6055.29,SUCCESS,0
TXN00117,4016,UPI,ICICI,2025-05-23 08:34:00,2025-05-23 08:35:00,24357.12,SUCCESS,0
TXN00118,3122,UPI,IDFC,2025-05-04 16:42:00,2025-05-04 16:43:00,6391.6,FAILED,2
TXN00119,1663,IMPS,Axis,2025-04-24 00:48:00,2025-04-24 01:18:00,8143.14,SUCCESS,0
TXN00120,3713,NEFT,Kotak,2025-04-17 19:40:00,2025-04-17 20:10:00,10859.47,SUCCESS,0
TXN00121,3523,IMPS,HDFC,2025-05-02 12:29:00,2025-05-02 12:59:00,5341.47,SUCCESS,0
TXN00122,1722,IMPS,PNB,2025-05-15 15:39:00,2025-05-15 15:54:00,3173.56,SUCCESS,0
TXN00123,2394,IMPS,ICICI,2025-05-19 17:29:00,2025-05-19 17:44:00,11468.23,SUCCESS,0
TXN00124,2920,IMPS,IDFC,2025-05-02 09:09:00,2025-05-02 09:39:00,43813.68,SUCCESS,0
TXN00125,3134,UPI,ICICI,2025-04-08 00:56:00,2025-04-08 00:57:00,30260.39,SUCCESS,0
TXN00126,3490,IMPS,PNB,2025-05-07 02:50:00,2025-05-07 03:05:00,6216.18,SUCCESS,0
TXN00127,4489,UPI,PNB,2025-05-16 10:15:00,2025-05-16 10:16:00,13864.75,SUCCESS,0
TXN00128,3516,IMPS,IDFC,2025-04-07 09:06:00,2025-04-07 09:36:00,33998.98,SUCCESS,0
TXN00129,4695,NEFT,Axis,2025-04-18 01:00:00,2025-04-18 04:00:00,15447.17,SUCCESS,0
TXN00130,1745,UPI,SBI,2025-04-12 19:04:00,2025-04-12 19:05:00,13384.77,SUCCESS,0
TXN00131,1904,IMPS,Axis,2025-05-28 21:43:00,2025-05-28 21:48:00,3717.51,SUCCESS,0
TXN00132,3679,UPI,IDFC,2025-04-17 17:50:00,2025-04-17 17:55:00,24130.72,SUCCESS,0
TXN00133,1236,IMPS,HDFC,2025-05-13 13:03:00,2025-05-13 13:08:00,2251.12,FAILED,2
TXN00134,4798,IMPS,PNB,2025-04-21 09:35:00,2025-04-21 09:50:00,36853.33,SUCCESS,0
TXN00135,2700,IMPS,ICICI,2025-05-23 09:21:00,2025-05-23 09:26:00,19105.34,FAILED,2
TXN00136,1730,IMPS,Axis,2025-05-23 06:09:00,2025-05-23 07:09:00,15039.91,SUCCESS,0
TXN00137,4547,UPI,PNB,2025-05-30 21:42:00,2025-05-30 21:43:00,721.57,SUCCESS,0
TXN00138,2394,NEFT,Kotak,2025-04-11 03:48:00,2025-04-11 06:48:00,27217.35,SUCCESS,0
TXN00139,2333,IMPS,IDFC,2025-04-22 04:55:00,2025-04-22 05:00:00,46215.08,SUCCESS,0
TXN00140,4219,NEFT,Axis,2025-05-29 12:42:00,2025-05-29 13:12:00,791.93,SUCCESS,0
TXN00141,2524,IMPS,HDFC,2025-05-31 10:39:00,2025-05-31 10:54:00,7985.68,SUCCESS,0
TXN00142,1130,NEFT,Axis,2025-04-30 05:33:00,2025-04-30 06:03:00,17796.73,SUCCESS,0
TXN00143,3864,NEFT,ICICI,2025-05-19 14:11:00,2025-05-19 15:11:00,17594.88,SUCCESS,0
TXN00144,2799,IMPS,HDFC,2025-05-24 15:05:00,2025-05-24 16:05:00,16128.57,FAILED,3
TXN00145,4642,UPI,Kotak,2025-05-02 09:15:00,2025-05-02 09:30:00,16626.19,SUCCESS,0
TXN00146,4028,IMPS,IDFC,2025-05-23 06:08:00,2025-05-23 06:13:00,518.03,SUCCESS,0
TXN00147,1826,UPI,ICICI,2025-05-22 06:34:00,2025-05-22 06:35:00,20501.17,SUCCESS,0
TXN00148,2296,IMPS,SBI,2025-05-15 01:02:00,2025-05-15 01:17:00,12337.81,SUCCESS,0
TXN00149,1182,IMPS,IDFC,2025-05-19 03:28:00,2025-05-19 03:43:00,5681.41,SUCCESS,0
TXN00150,4232,UPI,ICICI,2025-04-02 22:34:00,2025-04-02 22:49:00,31392.81,SUCCESS,0
TXN00151,1758,NEFT,ICICI,2025-05-05 06:45:00,2025-05-05 07:15:00,41969.88,SUCCESS,0
TXN00152,1476,NEFT,Axis,2025-05-26 11:46:00,2025-05-26 12:16:00,14812.99,SUCCESS,0
TXN00153,4430,IMPS,HDFC,2025-04-03 12:13:00,2025-04-03 12:18:00,4092.44,SUCCESS,0
TXN00154,1145,NEFT,HDFC,2025-05-23 13:14:00,2025-05-23 13:44:00,4870.7,SUCCESS,0
TXN00155,4415,NEFT,SBI,2025-05-31 04:42:00,2025-05-31 05:42:00,44924.34,PENDING,3
TXN00156,2325,IMPS,PNB,2025-04-25 06:51:00,2025-04-25 06:56:00,14255.91,SUCCESS,0
TXN00157,4932,IMPS,Kotak,2025-05-16 09:42:00,2025-05-16 09:47:00,26636.15,SUCCESS,0
TXN00158,3800,UPI,PNB,2025-05-24 14:22:00,2025-05-24 14:37:00,24199.41,FAILED,2
TXN00159,2776,NEFT,ICICI,2025-04-18 16:23:00,2025-04-18 19:23:00,10861.77,SUCCESS,0
TXN00160,1780,NEFT,IDFC,2025-04-04 13:36:00,2025-04-04 14:06:00,532.31,SUCCESS,0
TXN00161,4394,NEFT,Kotak,2025-04-25 01:11:00,2025-04-25 01:41:00,32939.37,SUCCESS,0
TXN00162,2560,IMPS,SBI,2025-05-30 14:37:00,2025-05-30 14:42:00,4956.57,SUCCESS,0
TXN00163,2625,IMPS,Kotak,2025-04-13 04:12:00,2025-04-13 04:42:00,3730.44,SUCCESS,0
TXN00164,3271,IMPS,SBI,2025-05-26 07:33:00,2025-05-26 07:48:00,26117.22,SUCCESS,0
TXN00165,2312,UPI,SBI,2025-04-28 00:58:00,2025-04-28 01:13:00,30392.58,SUCCESS,0
TXN00166,1362,NEFT,Kotak,2025-04-27 05:59:00,2025-04-27 06:29:00,17098.11,SUCCESS,0
TXN00167,1825,IMPS,IDFC,2025-04-10 10:52:00,2025-04-10 11:22:00,26214.71,SUCCESS,0
TXN00168,3403,IMPS,Kotak,2025-05-09 01:31:00,2025-05-09 01:36:00,10622.93,SUCCESS,0
TXN00169,2256,IMPS,IDFC,2025-04-24 12:34:00,2025-04-24 12:39:00,7090.8,SUCCESS,0
TXN00170,4526,IMPS,ICICI,2025-05-30 14:29:00,2025-05-30 14:59:00,6275.34,SUCCESS,0
TXN00171,3963,IMPS,ICICI,2025-04-17 11:21:00,2025-04-17 11:51:00,44146.5,SUCCESS,0
TXN00172,1021,IMPS,SBI,2025-04-14 14:28:00,2025-04-14 14:43:00,28700.23,SUCCESS,0
TXN00173,1947,UPI,IDFC,2025-05-03 05:46:00,2025-05-03 05:47:00,1018.18,SUCCESS,0
TXN00174,1569,NEFT,ICICI,2025-04-29 03:16:00,2025-04-29 03:46:00,4795.37,SUCCESS,0
TXN00175,4342,UPI,Kotak,2025-05-02 01:46:00,2025-05-02 01:51:00,5315.33,SUCCESS,0
TXN00176,2562,UPI,PNB,2025-04-28 20:46:00,2025-04-28 20:47:00,2456.46,SUCCESS,0
TXN00177,4845,UPI,Kotak,2025-04-01 05:14:00,2025-04-01 05:19:00,62006.56,SUCCESS,0
TXN00178,4056,IMPS,Axis,2025-05-14 15:26:00,2025-05-14 16:26:00,12408.76,SUCCESS,0
TXN00179,2680,NEFT,IDFC,2025-05-20 19:06:00,2025-05-20 20:06:00,9068.63,SUCCESS,0
TXN00180,1692,UPI,ICICI,2025-05-16 14:24:00,2025-05-16 14:25:00,14382.12,SUCCESS,0
TXN00181,4965,IMPS,Axis,2025-05-18 21:53:00,2025-05-18 21:58:00,12260.69,SUCCESS,0
TXN00182,1583,IMPS,Kotak,2025-04-21 17:29:00,2025-04-21 17:34:00,2430.39,SUCCESS,0
TXN00183,1606,UPI,SBI,2025-05-03 05:40:00,2025-05-03 05:41:00,17810.76,SUCCESS,0
TXN00184,2111,NEFT,Axis,2025-05-02 14:15:00,2025-05-02 14:45:00,64757.74,SUCCESS,0
TXN00185,3720,IMPS,ICICI,2025-04-02 00:32:00,2025-04-02 01:02:00,5928.15,SUCCESS,0
TXN00186,3636,NEFT,PNB,2025-05-08 06:25:00,2025-05-08 07:25:00,5831.22,SUCCESS,0
TXN00187,4041,NEFT,Axis,2025-04-11 02:58:00,2025-04-11 03:28:00,1656.73,FAILED,3
TXN00188,3270,IMPS,ICICI,2025-04-08 17:27:00,2025-04-08 17:57:00,41047.17,SUCCESS,0
TXN00189,1250,IMPS,SBI,2025-04-04 05:57:00,2025-04-04 06:27:00,33780.75,SUCCESS,0
TXN00190,4198,IMPS,ICICI,2025-04-18 21:11:00,2025-04-18 21:16:00,8660.02,SUCCESS,0
TXN00191,2324,IMPS,SBI,2025-05-06 12:07:00,2025-05-06 12:37:00,55861.54,SUCCESS,0
TXN00192,3335,IMPS,ICICI,2025-04-19 21:36:00,2025-04-19 22:36:00,316.23,FAILED,3
TXN00193,3971,NEFT,SBI,2025-05-24 14:32:00,2025-05-24 17:32:00,3737.72,SUCCESS,0
TXN00194,2748,UPI,Kotak,2025-05-07 03:27:00,2025-05-07 03:28:00,28085.95,PENDING,2
TXN00195,2712,IMPS,HDFC,2025-05-23 01:35:00,2025-05-23 02:05:00,8660.24,FAILED,2
TXN00196,1294,NEFT,SBI,2025-05-31 11:02:00,2025-05-31 12:02:00,5008.08,SUCCESS,0
TXN00197,3958,NEFT,ICICI,2025-05-18 22:41:00,2025-05-18 23:11:00,18872.47,FAILED,3
TXN00198,3340,UPI,Kotak,2025-05-24 14:13:00,2025-05-24 14:18:00,8621.54,SUCCESS,0
TXN00199,1129,NEFT,HDFC,2025-05-27 01:34:00,2025-05-27 02:34:00,7441.06,SUCCESS,0
TXN00200,2447,IMPS,Axis,2025-05-17 10:09:00,2025-05-17 10:14:00,52509.16,SUCCESS,0
TXN00201,2993,IMPS,Axis,2025-04-01 04:19:00,2025-04-01 04:34:00,26481.15,FAILED,1
TXN00202,1575,IMPS,Axis,2025-05-07 14:36:00,2025-05-07 14:51:00,560.41,SUCCESS,0
TXN00203,2655,UPI,Axis,2025-04-06 11:58:00,2025-04-06 11:59:00,29950.37,SUCCESS,0
TXN00204,4713,NEFT,Kotak,2025-04-29 00:54:00,2025-04-29 01:24:00,41375.72,SUCCESS,0
TXN00205,2082,IMPS,HDFC,2025-04-12 09:19:00,2025-04-12 10:19:00,13180.25,FAILED,3
TXN00206,1125,UPI,ICICI,2025-05-09 23:46:00,2025-05-09 23:51:00,54233.18,SUCCESS,0
TXN00207,2317,NEFT,PNB,2025-04-16 17:41:00,2025-04-16 20:41:00,5521.02,SUCCESS,0
TXN00208,2364,NEFT,Kotak,2025-04-05 14:21:00,2025-04-05 14:51:00,8798.07,SUCCESS,0
TXN00209,2142,UPI,ICICI,2025-04-18 16:25:00,2025-04-18 16:40:00,265.07,SUCCESS,0
TXN00210,1587,NEFT,HDFC,2025-05-03 00:18:00,2025-05-04 00:18:00,17544.86,SUCCESS,0
TXN00211,2327,IMPS,ICICI,2025-04-02 17:05:00,2025-04-02 17:10:00,6428.86,SUCCESS,0
TXN00212,2112,UPI,HDFC,2025-05-01 08:10:00,2025-05-01 08:25:00,1422.6,SUCCESS,0
TXN00213,1493,UPI,SBI,2025-04-18 12:40:00,2025-04-18 12:41:00,24741.87,SUCCESS,0
TXN00214,4712,NEFT,PNB,2025-04-21 14:00:00,2025-04-21 14:30:00,15707.73,SUCCESS,0
TXN00215,1916,IMPS,Kotak,2025-05-19 16:34:00,2025-05-19 16:39:00,8931.97,SUCCESS,0
TXN00216,3914,NEFT,PNB,2025-05-16 08:02:00,2025-05-16 09:02:00,14493.66,FAILED,2
TXN00217,3501,UPI,Kotak,2025-04-12 04:33:00,2025-04-12 04:38:00,6261.12,SUCCESS,0
TXN00218,2763,IMPS,IDFC,2025-05-20 11:58:00,2025-05-20 12:13:00,25148.56,SUCCESS,0
TXN00219,3666,NEFT,IDFC,2025-04-15 03:10:00,2025-04-15 03:40:00,1109.22,SUCCESS,0
TXN00220,1140,IMPS,ICICI,2025-04-04 15:52:00,2025-04-04 15:57:00,2728.79,SUCCESS,0
TXN00221,3798,IMPS,ICICI,2025-04-18 01:48:00,2025-04-18 02:48:00,14136.97,SUCCESS,0
TXN00222,1349,NEFT,IDFC,2025-05-09 12:30:00,2025-05-09 15:30:00,29429.23,SUCCESS,0
TXN00223,1444,NEFT,Axis,2025-05-24 06:53:00,2025-05-24 07:53:00,8288.46,SUCCESS,0
TXN00224,2385,NEFT,Kotak,2025-05-24 20:21:00,2025-05-24 21:21:00,13804.93,SUCCESS,0
TXN00225,2806,IMPS,ICICI,2025-05-12 07:23:00,2025-05-12 07:28:00,6712.42,SUCCESS,0
TXN00226,2316,IMPS,SBI,2025-05-09 09:24:00,2025-05-09 09:29:00,28574.69,SUCCESS,0
TXN00227,4040,IMPS,Kotak,2025-05-05 11:33:00,2025-05-05 11:48:00,2759.1,SUCCESS,0
TXN00228,1661,NEFT,IDFC,2025-04-07 10:09:00,2025-04-07 10:39:00,3925.27,SUCCESS,0
TXN00229,1440,IMPS,ICICI,2025-04-07 20:17:00,2025-04-07 20:32:00,4814.25,SUCCESS,0
TXN00230,4238,UPI,SBI,2025-05-30 13:18:00,2025-05-30 13:23:00,71090.8,SUCCESS,0
TXN00231,3335,NEFT,PNB,2025-05-07 00:35:00,2025-05-07 01:05:00,4616.14,SUCCESS,0
TXN00232,2914,IMPS,IDFC,2025-05-19 01:59:00,2025-05-19 02:29:00,1079.27,SUCCESS,0
TXN00233,3196,NEFT,ICICI,2025-05-14 02:21:00,2025-05-14 03:21:00,17097.7,PENDING,2
TXN00234,3661,IMPS,ICICI,2025-05-22 07:21:00,2025-05-22 07:36:00,8868.4,FAILED,1
TXN00235,4548,IMPS,HDFC,2025-05-12 22:15:00,2025-05-12 22:20:00,2803.58,SUCCESS,0
TXN00236,4719,UPI,PNB,2025-04-28 18:39:00,2025-04-28 18:40:00,4011.18,SUCCESS,0
TXN00237,2271,IMPS,HDFC,2025-04-20 05:21:00,2025-04-20 05:26:00,16700.95,SUCCESS,0
TXN00238,2184,IMPS,Axis,2025-05-04 13:35:00,2025-05-04 13:40:00,22850.84,SUCCESS,0
